Date,Close,High,Low,Open,Volume
,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS,VEDL.NS
2023-01-02,227.1283721923828,228.49358102677505,222.17049698964505,222.7093969448969,13487019
2023-01-03,229.6072998046875,231.08030617870057,225.79908220923016,227.12837315674108,10680716
2023-01-04,221.52377319335938,228.78096278114882,220.01487104016434,228.49355389139225,16035314
2023-01-05,223.71534729003906,224.18238954935433,220.91307180625134,222.74532294967898,6589413
2023-01-06,222.4938201904297,225.9787108966728,221.73936903649542,224.36201105718942,4971988
2023-01-09,226.69723510742188,227.7031772484687,224.3260842086762,224.3260842086762,6356082
2023-01-10,227.09243774414062,229.71510179739178,224.90091997876468,228.1343197867661,8269189
2023-01-11,228.60134887695312,229.96655766503068,227.41577340119878,227.88281562766022,6183545
2023-01-12,227.48765563964844,229.93066456507296,226.05058898611674,229.93066456507296,4051242
2023-01-13,229.3558349609375,231.36771940197022,227.27207087742298,227.77505295162908,8446441
2023-01-16,227.84689331054688,230.6491685427775,225.97870251309507,230.50545312455267,5228181
2023-01-17,228.45767211914062,228.85285666404252,225.26019015440292,227.84691442692267,4146953
2023-01-18,232.9125518798828,234.09812737348943,228.67321003079812,228.85284334582624,12239219
2023-01-19,237.69081115722656,239.99012652986895,231.04437801231254,232.51738446062598,14218085
2023-01-20,237.76266479492188,244.84022219176714,237.15190710380193,242.57684668034253,19053763
2023-01-23,236.5052490234375,240.3134889554087,236.00228883250395,237.79862221704758,4686210
2023-01-24,236.86451721191406,238.44529937155949,235.17595943408784,237.9782570741772,5123504
2023-01-25,234.4215087890625,239.05605773398247,233.23593313019168,237.11600889008622,7049679
2023-01-27,229.75100708007812,236.75670627954884,225.22425636850105,235.67890640270718,11670027
2023-01-30,231.29586791992188,233.4155499538988,227.3080168237442,229.93065901758425,9562174
2023-01-31,238.8404541015625,241.78644488845705,231.47548809827367,232.26587907932762,12559707
2023-02-01,235.678955078125,243.0439224243164,230.90071235617577,242.14575567478087,11727712
2023-02-02,234.99630737304688,240.52902256313325,231.7269896239297,236.3974560814663,11308985
2023-02-03,234.80953979492188,241.19715017580455,230.10289871367868,239.4414903822533,11362212
2023-02-06,228.7954559326172,235.25775567910046,227.8615969288106,234.80949879741488,7244255
2023-02-07,230.21495056152344,230.81263409051527,223.4911647556093,228.6087174010808,10473033
2023-02-08,234.66014099121094,235.70605872044393,231.1861893765851,231.22353462433406,7819410
2023-02-09,231.67176818847656,235.85546148203505,230.84996762735528,235.29514602662886,5202003
2023-02-10,232.12002563476562,232.867112910321,229.7293372332708,231.59705542215917,4235865
2023-02-13,230.66317749023438,235.18304601850417,230.1028620793269,232.3441237229567,5188595
2023-02-14,234.73483276367188,235.14572164842315,230.92468307146365,231.59705706437228,6566932
2023-02-15,233.8383331298828,235.93016852378645,232.41887176978423,234.51070716368784,5810417
2023-02-16,235.22044372558594,236.6399050523868,234.66012824400963,236.0048762800746,4366228
2023-02-17,234.5853729248047,237.49900834713353,233.83828574988493,235.22040158334474,4291109
2023-02-20,232.23207092285156,235.85544856252525,231.7091007400683,234.0997890052305,5264100
2023-02-21,230.1402130126953,234.51067788573235,229.35578053773946,232.82973161143295,6336180
2023-02-22,226.55426025390625,229.99086694787306,224.9853721110846,229.243779527415,6166923
2023-02-23,226.2927703857422,229.16906145448453,225.35891112961144,226.03128523416592,4584146
2023-02-24,219.9798583984375,227.74956153937225,218.14948544535972,227.03981950467815,10491706
2023-02-27,214.675537109375,219.60631777790562,209.74475644084438,219.60631777790562,10621491
2023-02-28,200.48089599609375,211.31366262857148,195.6995414905836,210.7533471130985,51008515
2023-03-01,208.1385040283203,209.10970829449343,198.83725902065513,199.50963295872057,18728209
2023-03-02,205.37428283691406,210.71595217624383,204.47779180613702,209.18443241577444,11979398
2023-03-03,216.09500122070312,217.32769070410828,206.60698340434575,206.86846851883655,16106822
2023-03-06,214.37672424316406,220.09193791189634,213.81640873055704,218.5230499167374,10687170
2023-03-08,212.95721435546875,213.33075798549012,207.20465613271585,212.09806856627836,9159693
2023-03-09,213.2934112548828,217.2529645857814,212.62103728539168,214.41404213713264,6175922
2023-03-10,209.0723876953125,212.88253752581943,203.61863666755303,209.85682024896306,12081164
2023-03-13,208.28793334960938,214.71288878908186,205.93461287798215,207.65292737420017,11122038
2023-03-14,208.7362060546875,210.49186592930778,205.85991512809218,210.49186592930778,8027650
2023-03-15,209.4832763671875,212.8451692493976,208.96032893175422,211.46305317129662,6345240
2023-03-16,205.48635864257812,208.25059085162744,200.81706288357304,206.8684747471028,11692502
2023-03-17,212.54632568359375,214.264617263603,207.31671485833837,209.1844330102153,14420400
2023-03-20,209.1097412109375,211.64983359863348,205.44901781696714,209.96888708922194,8043963
2023-03-21,211.9486846923828,212.4716321439327,210.08096636692756,210.67862711135484,4662762
2023-03-22,213.18138122558594,215.0117315650408,209.25917261337264,212.91989609157906,9306264
2023-03-23,202.64743041992188,212.91988080987184,199.6590812155728,212.91988080987184,31634089
2023-03-24,201.52682495117188,208.81092705784076,200.40619385783822,208.43738336006285,21108973
2023-03-27,203.76805114746094,204.85133679940148,201.37736278421679,202.83419206795836,9242191
2023-03-28,204.88868713378906,206.04666330142723,201.71356618458722,205.29957601926208,10805861
2023-03-29,210.4918212890625,211.0147914554603,203.8800949247384,206.9431570437278,24728158
2023-03-31,205.03811645507812,212.91987826772694,203.95483076171737,212.8825330228365,41562626
2023-04-03,210.97744750976562,211.42570444654305,206.64435031927172,207.65292272719725,13738062
2023-04-05,213.85374450683594,214.60083182389036,209.4832791422083,212.17279804346342,16288540
2023-04-06,219.84889221191406,220.8950154308128,214.05491477084226,214.41704757017277,23000052
2023-04-10,217.1933135986328,219.68794350980198,216.54954922841213,219.68794350980198,9479279
2023-04-11,219.48678588867188,220.37198040423033,217.39451464045345,219.68796534411518,8814894
2023-04-12,221.78021240234375,222.58493013634498,219.68794138233332,219.72816744581885,7011009
2023-04-13,221.86068725585938,224.35529256424078,220.33170392744998,221.29737502349423,6795496
2023-04-17,224.5162353515625,225.11977361863657,220.0902880596858,221.297364593834,8147387
2023-04-18,224.9990692138672,225.56235685748547,222.9067983252006,224.51623369216955,4609166
2023-04-19,226.56826782226562,228.53983609062817,225.32096515977426,226.12568289248773,9731032
2023-04-20,224.9990692138672,227.61440168519175,224.35528033225876,225.76353627835658,4378157
2023-04-21,222.70562744140625,225.20025726744288,222.10208915565718,224.99907783885988,4599260
2023-04-24,221.49853515625,222.70561164211512,220.17075593340516,221.69971457056084,4484853
2023-04-25,224.2748565673828,226.44757985268657,221.65952376537868,222.02163203391038,5696665
2023-04-26,222.2630615234375,223.6713176439132,221.45834374030852,223.3896615082105,3570055
2023-04-27,222.1825714111328,223.5505768249861,221.2973769915593,222.42397690827272,3689315
2023-04-28,224.7978973388672,225.32095893908294,222.30326752472024,222.90680580759278,4837041
2023-05-02,226.2061767578125,227.61443289701867,225.4014589639804,226.93041786065376,4879314
2023-05-03,223.9127197265625,225.522155268173,222.5044636276533,224.71743749736777,4587957
2023-05-04,223.8322296142578,226.04520335125628,223.22869132234914,224.15411179166858,3969851
2023-05-05,221.05596923828125,223.87248128033707,220.5328830697563,223.83223065920032,5353349
2023-05-08,224.59674072265625,225.3209818240545,221.0962134148535,222.58494624208433,4388448
2023-05-09,228.338623046875,231.75867290748897,225.15997864732657,225.72329080052313,11933072
2023-05-10,230.06881713867188,231.35637054723816,228.4593815174737,230.14929383133952,5747802
2023-05-11,226.48780822753906,230.95398167362316,226.12567543654393,230.95398167362316,5313663
2023-05-12,221.37786865234375,227.0913698655116,220.5731508633916,227.0913698655116,9987592
